loss,accuracy,recall_4,precision_4,auc_4,val_loss,val_accuracy,val_recall_4,val_precision_4,val_auc_4
0.8823301792144775,0.7219642400741577,0.6652047038078308,0.806065022945404,0.9353837370872498,0.9751459360122681,0.6815989017486572,0.5024121403694153,0.8944784998893738,0.919246256351471
0.534092128276825,0.8261094093322754,0.7870656847953796,0.8758732676506042,0.9742419719696045,0.8327760100364685,0.7208821773529053,0.6512749791145325,0.8045976758003235,0.9406645894050598
0.3741748631000519,0.8727210164070129,0.8447712659835815,0.9078558087348938,0.9867885708808899,0.8599978685379028,0.7325981855392456,0.698828399181366,0.7803001403808594,0.9436804056167603
0.2518359124660492,0.9144306778907776,0.896112859249115,0.936376690864563,0.9932174682617188,0.9964272975921631,0.7229496836662292,0.6977946162223816,0.7658849954605103,0.9350213408470154
0.16338329017162323,0.9464224576950073,0.9350705146789551,0.9586492776870728,0.9969398975372314,1.1161607503890991,0.7274293303489685,0.7088214755058289,0.7540322542190552,0.9260497093200684
0.09837517887353897,0.9682662487030029,0.963536262512207,0.973414421081543,0.9987385869026184,1.2539952993392944,0.7215713262557983,0.7081323266029358,0.7440260648727417,0.9201998710632324
0.0825585424900055,0.9725662469863892,0.9687822461128235,0.9764236807823181,0.9991328716278076,1.384864330291748,0.7174362540245056,0.706064760684967,0.734935462474823,0.9125715494155884
0.05440710857510567,0.9830581545829773,0.9815961718559265,0.9851545095443726,0.9995530843734741,1.3712831735610962,0.7170916795730591,0.7057201862335205,0.7335243821144104,0.9135780334472656
0.031971920281648636,0.9899380803108215,0.9889060854911804,0.9911222457885742,0.99977707862854,1.505022406578064,0.7301861047744751,0.7229496836662292,0.7413427829742432,0.9135192036628723
0.024297254160046577,0.9923460483551025,0.9914860725402832,0.9933655261993408,0.9998990297317505,1.4344066381454468,0.7408683896064758,0.7332873940467834,0.7490320205688477,0.9144982695579529
